ProductID,ProductName,Category,SubCategory,UnitPrice,SatisfactionScore,SupplierName
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,315.98925,4,Prime Goods
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,886.4606667,3,NorthStar
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,21.93,4,Prime Goods
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,905.346,2,NorthStar
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,60.3936,4,NorthStar
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,32.108,1,Prime Goods
OFF-AR-10002833,Newell 322,Office Supplies,Art,5.096,5,NorthStar
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,529.172,2,NorthStar
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,21.5109,1,NorthStar
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,66.31371429,2,Prime Goods
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,550.297,2,Global Supply Co
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,555.399,2,Prime Goods
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,17.8848,5,Prime Goods
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,464.6393333,4,Global Supply Co
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,138.3081,2,Global Supply Co
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,11.766,1,Global Supply Co
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,510.508,4,Global Supply Co
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,119.325,2,Prime Goods
OFF-AR-10003056,Newell 341,Office Supplies,Art,13.81828571,4,NorthStar
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,213.48,2,Prime Goods
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,20.48857143,3,NorthStar
OFF-AR-10000246,Newell 318,Office Supplies,Art,12.3432,3,Prime Goods
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,38.11955556,1,Prime Goods
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,109.2428571,3,NorthStar
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,19.17066667,3,NorthStar
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,116.7346667,2,Prime Goods
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,3122.19312,3,Global Supply Co
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,28.167,4,Prime Goods
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,119.8443333,5,Prime Goods
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,6.194181818,1,Global Supply Co
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,82.708,5,Global Supply Co
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,7.953375,3,Global Supply Co
OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,28.565,1,NorthStar
OFF-PA-10000249,Staples,Office Supplies,Paper,32.74666667,5,NorthStar
TEC-PH-10004977,GE 30524EE4,Technology,Phones,587.97,5,Global Supply Co
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,572.76,4,Global Supply Co
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,88.144,3,Global Supply Co
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,942.464025,3,NorthStar
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,350.064,5,Prime Goods
